Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2001,AFG,AFG,Afghanistan,Afghanistan,IDP,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000
2001,AFG,AFG,Afghanistan,Afghanistan,RET,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26092
2001,AFG,EGY,Afghanistan,Egypt,ASY,,,,0,0,0,0,0,5,5,0,0,0,0,0,16,16,21
2001,AFG,EGY,Afghanistan,Egypt,REF,,,,5,0,0,9,0,0,14,5,0,0,42,0,5,52,66
2001,AFG,ARG,Afghanistan,Argentina,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,AUS,Afghanistan,Australia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
2001,AFG,AUS,Afghanistan,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6262
2001,AFG,AUT,Afghanistan,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049
2001,AFG,AZE,Afghanistan,Azerbaijan,ASY,,,,36,0,0,83,6,141,266,47,0,0,460,12,146,665,931
2001,AFG,AZE,Afghanistan,Azerbaijan,REF,,,,8,0,0,38,0,22,68,9,0,0,119,0,47,175,243
2001,AFG,BEL,Afghanistan,Belgium,REF,,,,0,0,0,0,0,144,144,0,0,0,0,0,213,213,357
2001,AFG,BGD,Afghanistan,Bangladesh,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,BLR,Afghanistan,Belarus,ASY,,,,5,0,0,44,0,42,91,5,0,0,86,0,31,122,213
2001,AFG,BLR,Afghanistan,Belarus,REF,,,,9,0,0,87,6,70,172,9,0,0,200,5,68,282,454
2001,AFG,BRA,Afghanistan,Brazil,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,AFG,BRA,Afghanistan,Brazil,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,BGR,Afghanistan,Bulgaria,ASY,,,,0,0,0,76,0,74,150,0,0,0,396,0,77,473,623
2001,AFG,BGR,Afghanistan,Bulgaria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565
2001,AFG,KHM,Afghanistan,Cambodia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,KHM,Afghanistan,Cambodia,REF,,,,0,0,0,5,0,0,5,0,0,0,7,0,5,12,17
2001,AFG,CAN,Afghanistan,Canada,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406
2001,AFG,CAN,Afghanistan,Canada,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11371
2001,AFG,CHN,Afghanistan,China,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,CHL,Afghanistan,Chile,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,AFG,CUB,Afghanistan,Cuba,REF,,,,0,0,0,0,0,8,8,0,0,0,13,0,5,18,26
2001,AFG,CYP,Afghanistan,Cyprus,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2001,AFG,CYP,Afghanistan,Cyprus,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,AFG,CZE,Afghanistan,Czechia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
2001,AFG,CZE,Afghanistan,Czechia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
2001,AFG,DNK,Afghanistan,Denmark,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819
2001,AFG,DNK,Afghanistan,Denmark,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4816
2001,AFG,ECU,Afghanistan,Ecuador,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2001,AFG,EST,Afghanistan,Estonia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,EST,Afghanistan,Estonia,REF,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2001,AFG,ETH,Afghanistan,Ethiopia,REF,,,,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2001,AFG,FIN,Afghanistan,Finland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661
2001,AFG,FRA,Afghanistan,France,REF,,,,0,0,0,0,0,578,578,0,0,0,0,0,706,706,1284
2001,AFG,GBR,Afghanistan,United Kingdom of Great Britain and Northern Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15065
2001,AFG,GEO,Afghanistan,Georgia,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,AFG,DEU,Afghanistan,Germany,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10057
2001,AFG,GRC,Afghanistan,Greece,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597
2001,AFG,GRC,Afghanistan,Greece,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
2001,AFG,HKG,Afghanistan,"China, Hong Kong Special Administrative Region",ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,AFG,HRV,Afghanistan,Croatia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,HUN,Afghanistan,Hungary,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105
2001,AFG,HUN,Afghanistan,Hungary,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581
2001,AFG,ISL,Afghanistan,Iceland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,CIV,Afghanistan,Côte d'Ivoire,ASY,,,,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
2001,AFG,CIV,Afghanistan,Côte d'Ivoire,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,AFG,IND,Afghanistan,India,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
2001,AFG,IND,Afghanistan,India,REF,,,,185,0,0,3469,318,2225,6197,248,0,0,2881,342,2304,5775,11972
2001,AFG,IDN,Afghanistan,Indonesia,ASY,,,,10,0,0,51,0,10,71,24,0,0,303,0,49,376,447
2001,AFG,IDN,Afghanistan,Indonesia,REF,,,,0,0,0,7,0,5,12,0,0,0,22,0,10,32,44
2001,AFG,IRL,Afghanistan,Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2001,AFG,IRN,Afghanistan,Iran (Islamic Republic of),REF,,,,68918,0,0,248624,16065,235926,569533,73877,0,0,539273,28463,270854,912467,1482000
2001,AFG,ITA,Afghanistan,Italy,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
2001,AFG,JOR,Afghanistan,Jordan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,JOR,Afghanistan,Jordan,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,JPN,Afghanistan,Japan,ASY,,,,0,0,0,0,0,5,5,0,0,0,0,0,66,66,71
2001,AFG,JPN,Afghanistan,Japan,REF,,,,0,0,0,0,0,15,15,0,0,0,0,0,43,43,58
2001,AFG,KAZ,Afghanistan,Kazakhstan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2001,AFG,KAZ,Afghanistan,Kazakhstan,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353
2001,AFG,KEN,Afghanistan,Kenya,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,KGZ,Afghanistan,Kyrgyzstan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
2001,AFG,KGZ,Afghanistan,Kyrgyzstan,REF,,,,64,0,0,257,19,127,467,59,0,0,285,12,99,455,922
2001,AFG,KOR,Afghanistan,Republic of Korea,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AFG,KOR,Afghanistan,Republic of Korea,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
