,full_text,hashtags,retweets,geo,tags
0,"Around the  country, millions of children live in dangerous conditions due to war, conflicts, disasters, displacement. 

They deserve a world where they can learn and play safely.

#Afghanistan 
#EducationForAll https://t.co/Yml3t8d79l","{'Afghanistan', 'EducationForAll'}",4,,"[('Afghanistan', 'LOCATION')]"
1,"Sneak peek! The #2019CPMS Summary just arrived from the printers! See you on FB Live on 15 Oct for the new #CPMS launch. For more info, check out the #FutureLinksInCP link at https://t.co/JmIBSviaAf https://t.co/rgGZ3J8uAq","{'FutureLinksInCP', 'CPMS', '2019CPMS'}",3,,[]
2,@TsarKastik @RT_com @JewRussophile they are usually very good at killing kids in Yemen.,set(),0,,"[('Yemen', 'LOCATION')]"
3,@FatihinFKM @TsarKastik @RT_com @JewRussophile See who’s talk 😂 are y the 🇺🇸 who destroys Iraq Afghanistan Vietnam killed &amp; displacement more then 2 millions ppl in Iraq?? More then a half is children? Who want to be look good ha!,set(),0,,"[('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Vietnam', 'LOCATION'), ('Iraq', 'LOCATION')]"
4,"@CPiE_Global Thanks for this initiative , it can really change the life of children in Afghanistan and the rest of the world where children lives in more dangerous situation owing to conflicts , displacement and migration, There should be more attention paid for its proper implementation...",set(),0,,"[('Afghanistan', 'LOCATION')]"
5,"Speaking of Afghanistan, conflict, terrorists, and children, documentary filmmaker Sharmeen Obaid-Chinoy spent a... http://t.co/Nx9NZbuf",set(),0,,"[('Afghanistan', 'LOCATION'), ('Sharmeen', 'PERSON'), ('Obaid-Chinoy', 'PERSON')]"
6,"An Entire Generation of Afghan Children Has Known Nothing But War: Save the Children 
#Afghanistan #War #Children #Taliban
Read more: https://t.co/A4wtjeNVZQ","{'War', 'Afghanistan', 'Taliban', 'Children'}",4,,"[('Afghanistan', 'LOCATION')]"
7,"Refugee children from Afghanistan play cricket near their host homes in Pakistan.
Over half of the world’s refugees are children. Many will spend their entire childhoods away from home, sometimes separated from their families.
Photography by Sebastian Rich for @refugees https://t.co/I3m2kbkTct",set(),8,,"[('Afghanistan', 'LOCATION'), ('Pakistan', 'LOCATION'), ('Sebastian', 'PERSON'), ('Rich', 'PERSON')]"
8,"In Afghanistan, childhoods are lost to war https://t.co/SxBTPTxnxU ""Children cannot develop critical thinking, which makes them vulnerable for exploitation by extremist groups."" @EzzatMehrdad https://t.co/xf8q7mXe8V",set(),2,,"[('Afghanistan', 'LOCATION')]"
9,"@sahraakarimi لا حول ولا قوه إلا بالله العلي العظيم،
We don't know which problem we solve first in Afghanistan 🇦🇫 :
War, children's rights, women's rights, education and health, which is incomplete. 🤔 🤔 🤔",set(),0,,"[('Afghanistan', 'LOCATION')]"
10,"#Afghanistan is now the scene of the deadliest conflict on earth. Fighting continues to rage, exposing civilians, particularly women and children, to daily deadly risks, prompting mass displacement and choking the country’s unstable economy. https://t.co/kdgGGngw3S https://t.co/DvygDWQs5a",{'Afghanistan'},0,,"[('Afghanistan', 'LOCATION')]"
11,"Every child has the right to protection and freedom from violence, but in Afghanistan, conflict is having a devastating impact on children https://t.co/dXrbyR1MMf

#ChildrenUnderAttack #NotATarget | @UNICEFAfg https://t.co/ahMgJFQevw","{'NotATarget', 'ChildrenUnderAttack'}",5,,"[('Afghanistan', 'LOCATION')]"
12,"په افغانستان کې هره ورځ ۹ ماشومانو ته مرګ و ژوبله اوړي- یونسیف
https://t.co/R8rXx3tHPa

#Afghanistan #ArianaNews #ATNNews #AfghanNews #AryanaNews #ATN #UNICEF #War #Children https://t.co/yQJ0n9bEz9","{'Afghanistan', 'ArianaNews', 'ATNNews', 'AfghanNews', 'War', 'AryanaNews', 'ATN', 'UNICEF', 'Children'}",0,,"[('Afghanistan', 'LOCATION'), ('ATN', 'ORGANIZATION'), ('UNICEF', 'ORGANIZATION')]"
13,"Every child has the right to protection and freedom from violence, but in #Afghanistan, conflict is having a devastating impact on children.

Learn more: https://t.co/8i6mP46OLp

v/@unicefrosa @unicefafg #ChildrenUnderAttack #NotATarget https://t.co/R0DDuJVNIi","{'NotATarget', 'Afghanistan', 'ChildrenUnderAttack'}",25,,"[('Afghanistan', 'LOCATION')]"
14,"Seen an ex BBC war correspondent asking for donations for “war children” victims in Iraq Afghanistan, Iran, Lybia , ... and the British had fuck all to do with the destruction of these countries?? Was that cunt blinded? He was there..what war was he reporting????",set(),0,,"[('BBC', 'ORGANIZATION'), ('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Iran', 'LOCATION'), ('Lybia', 'LOCATION')]"
15,"Young Afghan peace activists amongst the winners! Congratulations!
#Afghanistan #peace #youth #war #children #refugee #migration #education https://t.co/BuG0R6fIVt","{'Afghanistan', 'education', 'refugee', 'war', 'peace', 'children', 'youth', 'migration'}",0,,"[('Afghanistan', 'LOCATION')]"
16,"Afghanistan is now the scene of the deadliest conflict on earth. Fighting continues to rage, exposing civilians, specially women &amp; children, to daily deadly risks, prompting mass displacement &amp; choking the country’s unstable economy. @Ian_Fraser @DickieMan
https://t.co/xJVZplcpID",set(),0,,"[('Afghanistan', 'LOCATION')]"
17,Yesterday parliament voted against the right of refugee children to join their families. Merzia was separated from her family as they fled Afghanistan and this is how she remembers it. https://t.co/TiWKHNKmol,set(),227,,"[('Merzia', 'PERSON'), ('Afghanistan', 'LOCATION')]"
18,"Violence.
Displacement.
Drought.

Despite these barriers to learning, children in Afghanistan are grasping the opportunity to learn, and with it, finding a sense of normality in their lives.

UNICEF Afghanistan https://t.co/JW0ddYckXb",set(),1,,"[('Afghanistan', 'LOCATION'), ('UNICEF', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
19,"Children are suffering from extreme malnutrition in Afghanistan. 

This is how UNICEF is supporting children in one of the world’s most lethal conflicts. 

#ChildrenUnderAttack #Afghanistan #Nutrition https://t.co/9kI0vQ0plz","{'Afghanistan', 'Nutrition', 'ChildrenUnderAttack'}",211,,"[('Afghanistan', 'LOCATION'), ('UNICEF', 'ORGANIZATION'), ('Afghanistan', 'LOCATION')]"
20,"Our Friends @UNICEF Reporting on EXTREME Malnutrition in Afghanistan Children because of Conflicts &amp; War.  
#children #childrenunderattack.","{'childrenunderattack', 'children'}",10,,"[('Afghanistan', 'LOCATION')]"
21,"@simona_poletti This is a huge problem not only in Afghanistan, but also in Libya and Iraq. Countries are in chaos and civil war. Children are victims of this. The most defenseless.",set(),0,,"[('Afghanistan', 'LOCATION'), ('Libya', 'LOCATION'), ('Iraq', 'LOCATION')]"
22,"جنگ افغانستان در سال ۲۰۱۹ مرگبارترین جنگ برای کودکان در جهان بوده است
#Afghanistan #War #Children 
https://t.co/TtMoevw2Ii","{'War', 'Afghanistan', 'Children'}",1,,"[('Afghanistan', 'LOCATION')]"
